"filename", "language", "Lua", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\PlayerMain.server.lua", "Lua", 33, 0, 0, 0, 14, 47
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Button.lua", "Lua", 100, 0, 0, 3, 16, 119
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Despawn.lua", "Lua", 16, 0, 0, 0, 4, 20
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Door.lua", "Lua", 45, 0, 0, 2, 14, 61
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\DoorUnlockable.lua", "Lua", 20, 0, 0, 0, 4, 24
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Dumbells.lua", "Lua", 70, 0, 0, 0, 12, 82
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Unlockable.lua", "Lua", 20, 0, 0, 0, 8, 28
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\MoneyHandler.lua", "Lua", 20, 0, 0, 0, 14, 34
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\MoneyMain.server.lua", "Lua", 54, 0, 0, 1, 20, 75
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\TycoonClass.lua", "Lua", 119, 0, 0, 1, 32, 152
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\TycoonMain.server.lua", "Lua", 26, 0, 0, 2, 9, 37
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\devproduct.server.lua", "Lua", 22, 0, 0, 0, 6, 28
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\gamepasses.lua", "Lua", 7, 0, 0, 0, 0, 7
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\server_cutscene.lua", "Lua", 31, 0, 0, 0, 11, 42
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CameraShaker\CameraShakeInstance.lua", "Lua", 113, 0, 0, 5, 51, 169
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CameraShaker\CameraShakePresets.lua", "Lua", 61, 0, 0, 19, 14, 94
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CameraShaker\init.lua", "Lua", 132, 0, 0, 12, 64, 208
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CustomAnims.lua", "Lua", 52, 0, 0, 1, 16, 69
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\init.lua", "Lua", 97, 0, 0, 3, 17, 117
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\CameraDic.lua", "Lua", 37, 0, 0, 2, 9, 48
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\CutsceneMain.client.lua", "Lua", 27, 0, 0, 1, 10, 38
